IDfg,Name,Team,contract_value,war_market_value,surplus_value
27783,Zach Brzykcy,wsh,"$800,000",5.1,4.3
19804,Bryan Baker,bal,"$800,000",5.1,4.3
24862,Ryan Fernandez,stl,"$800,000",5.1,4.3
27753,Bailey Horn,det,"$800,000",5.1,4.3
31900,Adam Mazur,mia,"$800,000",5.1,4.3
31730,Jonathan Cannon,chw,"$800,000",5.1,4.3
26304,Bryan Hoeing,sd,"$800,000",5.1,4.3
20515,Kyle Nelson,ari,"$850,000",5.1,4.25
17273,Jorge Mateo,bal,"$2,950,000",7.16,4.21
17170,Gabe Speier,sea,"$900,000",5.1,4.2
3237,T.J. McFarland,ath,"$1,800,000",5.95,4.15
25660,Will Brennan,cle,"$800,000",4.9,4.1
21501,Trevor Larnach,min,"$2,100,000",6.19,4.09
15541,Tyler Rogers,sf,"$5,700,000",9.78,4.08
18323,Josh Sborz,tex,"$1,100,000",5.1,4.0
14874,Sam Moll,cin,"$1,100,000",5.1,4.0
19996,Dylan Lee,atl,"$1,980,000",5.95,3.97
14706,Anthony Banda,lad,"$1,200,000",5.1,3.9
15689,Luis Castillo,sea,"$24,150,000",28.05,3.9
14552,Jose Ruiz,phi,"$1,225,000",5.1,3.87
19876,Kevin Ginkel,ari,"$2,970,000",6.8,3.83
17722,Trevor Megill,mil,"$2,125,000",5.95,3.82
16609,Bryan Abreu,hou,"$3,000,000",6.8,3.8
2036,Clayton Kershaw,lad,"$10,000,000",13.6,3.6
19574,JoJo Romero,stl,"$2,500,000",5.95,3.45
33294,Seth Halvorsen,col,"$800,000",4.25,3.45
24203,Luis Peralta,col,"$800,000",4.25,3.45
16990,Tanner Banks,phi,"$800,000",4.25,3.45
27517,Jared Koenig,mil,"$800,000",4.25,3.45
24978,Erik Sabrowski,cle,"$800,000",4.25,3.45
26790,Angel Chivilli,col,"$800,000",4.25,3.45
23488,Ron Marinaccio,chw,"$800,000",4.25,3.45
22191,Tobias Myers,mil,"$800,000",4.25,3.45
27624,Walter Pennington,tex,"$800,000",4.25,3.45
29950,Jordan Leasure,chw,"$800,000",4.25,3.45
30250,Jaden Hill,col,"$800,000",4.25,3.45
25648,Justin Slaten,bos,"$800,000",4.25,3.45
21267,Jake Bird,col,"$800,000",4.25,3.45
19926,Tony Santillan,cin,"$800,000",4.25,3.45
25636,Hunter Gaddis,cle,"$800,000",4.25,3.45
26952,Anthony Molina,col,"$800,000",4.25,3.45
19795,Keegan Thompson,chc,"$850,000",4.25,3.4
19326,Bryan Reynolds,pit,"$12,250,000",15.64,3.39
25845,Michael Toglia,col,"$800,000",4.13,3.33
20020,John Schreiber,kc,"$1,800,000",5.1,3.3
19200,Jose Quijada,laa,"$1,100,000",4.25,3.15
20160,Nate Pearson,chc,"$1,250,000",4.25,3.0
20517,Nick Sandlin,tor,"$1,250,000",4.25,3.0
17948,Trent Thornton,sea,"$1,350,000",4.25,2.9
12927,Brandon Nimmo,nym,"$20,250,000",23.13,2.88
26151,Kyle Stowers,mia,"$800,000",3.57,2.77
17888,Tayler Saucedo,sea,"$1,500,000",4.25,2.75
